[BASH] Running the CPU only (default) graph500 for scale 21 with sorted edges
223.69	213.71	4.62	213.66	0.05	0.00	213.66	0.00	0.00	0.00	0.00	0.00	67108862	0.3140
503.01	485.35	10.34	485.30	0.04	0.00	485.30	0.00	0.00	0.01	0.00	0.00	67108862	0.1383
379.05	363.66	4.54	363.62	0.04	0.00	363.62	0.00	0.00	0.00	0.00	0.00	67108862	0.1845
332.42	313.52	10.64	313.47	0.04	0.00	313.47	0.00	0.00	0.00	0.00	0.00	67108862	0.2141
file:/dev/null	benchmark:GRAPH500	vertices:2097152	edges:67108862	partitioning:RANDOM	platform:CPU	alpha:50	repeat:1	gpu_count:1	thread_count:4	thread_sched:GUIDED	thread_bind:false	gpu_graph_mem:DEVICE	gpu_par_randomized:false	sorted:false	edge_sort_key:degree	edge_order:asc	separate_singletons:false	lambda:0402.82	383.84	10.82	383.79	0.04	0.00	383.79	0.00	0.00	0.01	0.00	0.00	67108862	0.1748
262.61	249.22	4.88	249.17	0.05	0.00	249.17	0.00	0.00	0.00	0.00	0.00	67108862	0.2693
323.84	311.40	4.58	311.34	0.05	0.00	311.34	0.00	0.00	0.00	0.00	0.00	67108862	0.2155
437.43	418.29	4.55	418.24	0.05	0.00	418.24	0.00	0.00	0.00	0.00	0.00	67108862	0.1604
367.10	360.21	1.47	360.16	0.04	0.00	360.16	0.00	0.00	0.00	0.00	0.00	67108862	0.1863
367.12	360.27	1.47	360.22	0.05	0.00	360.22	0.00	0.00	0.01	0.00	0.00	67108862	0.1863
461.76	446.47	9.92	446.42	0.04	0.00	446.42	0.00	0.00	0.01	0.00	0.00	67108862	0.1503
356.43	341.57	1.47	341.53	0.04	0.00	341.53	0.00	0.00	0.00	0.00	0.00	67108862	0.1965
384.11	372.45	1.48	372.40	0.04	0.00	372.40	0.00	0.00	0.00	0.00	0.00	67108862	0.1802
444.98	423.78	6.67	423.74	0.04	0.00	423.74	0.00	0.00	0.01	0.00	0.00	67108862	0.1584
444.99	433.80	5.84	433.74	0.05	0.00	433.74	0.00	0.00	0.01	0.00	0.00	67108862	0.1547
475.41	461.88	4.73	461.82	0.05	0.00	461.82	0.00	0.00	0.00	0.00	0.00	67108862	0.1453
619.54	598.76	5.45	598.70	0.05	0.00	598.70	0.00	0.00	0.00	0.00	0.00	67108862	0.1121
579.17	559.83	4.64	559.77	0.05	0.00	559.77	0.00	0.00	0.01	0.00	0.00	67108862	0.1199
486.00	466.62	14.02	466.56	0.05	0.00	466.56	0.00	0.00	0.01	0.00	0.00	67108862	0.1438
332.99	323.57	1.53	323.53	0.04	0.00	323.53	0.00	0.00	0.00	0.00	0.00	67108862	0.2074
	time_init:10457.45	time_par:413.39	rmt_vertex:0	rmt_edge:0	beta:0	pid0:100,100,0,0	
total	exec	init	comp	comm	finalize	cpu_comp	gpu_comp	gpu_total_comp	scatter	gather	aggr	trv_edges	exec_rate
252.96	241.65	1.79	241.60	0.05	0.00	241.60	0.00	0.00	0.01	0.00	0.00	67108862	0.2777
218.27	205.74	4.72	205.69	0.04	0.00	205.69	0.00	0.00	0.00	0.00	0.00	67108862	0.3262
199.43	191.79	2.25	191.75	0.04	0.00	191.75	0.00	0.00	0.00	0.00	0.00	67108862	0.3499
283.02	263.09	11.15	263.03	0.05	0.00	263.03	0.00	0.00	0.01	0.00	0.00	67108862	0.2551
404.20	383.83	4.63	383.78	0.05	0.00	383.78	0.00	0.00	0.00	0.00	0.00	67108862	0.1748
499.31	465.56	24.81	465.49	0.06	0.00	465.49	0.00	0.00	0.00	0.00	0.00	67108862	0.1441
445.27	427.17	12.66	427.11	0.05	0.00	427.11	0.00	0.00	0.00	0.00	0.00	67108862	0.1571
497.37	482.18	5.46	482.10	0.06	0.00	482.10	0.00	0.00	0.01	0.00	0.00	67108862	0.1392
286.96	268.46	2.77	268.41	0.05	0.00	268.41	0.00	0.00	0.01	0.00	0.00	67108862	0.2500
310.67	297.04	4.76	296.98	0.05	0.00	296.98	0.00	0.00	0.00	0.00	0.00	67108862	0.2259
238.24	228.18	4.58	228.12	0.05	0.00	228.12	0.00	0.00	0.01	0.00	0.00	67108862	0.2941
741.24	585.95	140.28	585.85	0.08	0.00	585.85	0.00	0.00	0.01	0.00	0.00	67108862	0.1145
419.36	396.32	14.32	396.25	0.05	0.00	396.25	0.00	0.00	0.01	0.00	0.00	67108862	0.1693
546.91	536.10	5.37	536.04	0.06	0.00	536.04	0.00	0.00	0.01	0.00	0.00	67108862	0.1252
535.59	519.50	10.68	519.44	0.06	0.00	519.44	0.00	0.00	0.00	0.00	0.00	67108862	0.1292
500.74	466.84	28.53	466.79	0.04	0.00	466.79	0.00	0.00	0.01	0.00	0.00	67108862	0.1438
526.56	492.55	25.57	492.48	0.05	0.00	492.48	0.00	0.00	0.00	0.00	0.00	67108862	0.1362
365.77	348.03	4.51	347.96	0.06	0.00	347.96	0.00	0.00	0.01	0.00	0.00	67108862	0.1928
432.76	408.18	10.19	408.11	0.07	0.00	408.11	0.00	0.00	0.01	0.00	0.00	67108862	0.1644
316.12	301.57	6.05	301.51	0.05	0.00	301.51	0.00	0.00	0.00	0.00	0.00	67108862	0.2225
