[BASH] Running the hybrid graph500 for scale 21 with sorted edges
Initializing the shares for Hybrid platform.
	time_init:15804.01	time_par:784.06	rmt_vertex:50	rmt_edge:50	beta:2	pid0:50,50,25,25	pid1:50,50,25,25	
total	exec	init	comp	comm	finalize	cpu_comp	gpu_comp	gpu_total_comp	scatter	gather	aggr	trv_edges	exec_rate
4738.92	4581.33	91.64	4361.81	219.50	0.00	594.02	4320.19	4320.19	24.34	31.79	0.78	67108862	0.0146
4605.08	4473.97	55.15	1550.74	2923.22	0.00	520.59	1540.97	1540.97	16.52	22.58	0.85	67108862	0.0150
2185.88	2073.88	48.77	1887.49	186.38	0.00	416.40	1854.10	1854.10	16.19	27.47	0.82	67108862	0.0324
2124.13	2005.01	25.25	572.72	1432.28	0.00	304.38	551.58	551.58	76.84	21.68	0.77	67108862	0.0335
1734.21	1648.06	28.51	1513.06	134.99	0.00	231.56	1481.19	1481.19	42.93	19.17	1.35	67108862	0.0407
1641.09	1557.62	7.53	1207.52	350.09	0.00	424.76	1167.57	1167.57	26.48	35.30	0.85	67108862	0.0431
920.90	845.62	5.76	398.96	446.65	0.00	225.04	382.67	382.67	52.81	15.63	0.78	67108862	0.0794
1001.90	890.20	42.30	751.56	138.63	0.00	275.44	738.62	738.62	47.29	19.06	0.84	67108862	0.0754
4583.62	4474.31	36.64	4359.39	114.90	0.00	378.90	4355.97	4355.97	30.07	26.51	0.97	67108862	0.0150
4558.87	4488.89	6.50	3401.82	1087.05	0.00	569.76	3351.50	3351.50	18.67	20.01	0.95	67108862	0.0149
756.21	687.06	9.04	311.98	375.07	0.00	198.41	267.60	267.60	55.97	12.24	0.85	67108862	0.0977
824.67	710.77	30.70	568.69	142.06	0.00	247.31	558.76	558.76	82.19	39.70	1.33	67108862	0.0944
4704.28	4600.15	36.65	4495.62	104.52	0.00	641.72	4457.85	4457.85	19.80	13.81	0.79	67108862	0.0146
4667.95	4585.24	4.91	4493.26	91.97	0.00	523.83	4475.78	4475.78	22.45	30.31	0.78	67108862	0.0146
1264.11	1077.83	121.07	905.80	172.01	0.00	323.02	791.11	791.11	58.78	18.45	2.88	67108862	0.0623
1222.07	992.31	161.95	545.93	446.37	0.00	350.05	485.70	485.70	48.71	15.96	0.82	67108862	0.0676
2931.48	2844.86	26.38	2707.80	137.05	0.00	547.59	2661.55	2661.55	23.67	17.51	0.97	67108862	0.0236
2694.51	2616.33	3.69	954.25	1662.07	0.01	392.06	898.66	898.66	23.24	17.59	0.96	67108862	0.0256
1755.42	1664.78	33.10	1526.89	137.88	0.00	294.03	1505.69	1505.69	33.91	14.67	0.74	67108862	0.0403
1633.90	1547.76	13.42	749.99	797.76	0.00	340.71	723.05	723.05	28.51	20.09	1.65	67108862	0.0434
5025.79	4958.62	13.59	4836.17	122.43	0.00	462.85	4812.49	4812.49	28.81	45.64	0.79	67108862	0.0135
5028.24	4950.56	5.13	3439.12	1511.42	0.00	756.81	3409.93	3409.93	47.56	20.92	0.84	67108862	0.0136
1192.26	1109.22	12.12	770.87	338.32	0.00	248.74	764.50	764.50	80.55	14.14	0.79	67108862	0.0605
1070.40	995.11	6.65	477.21	517.89	0.00	202.82	447.72	447.72	85.07	20.50	0.80	67108862	0.0674
1172.99	1093.74	2.24	849.46	244.27	0.00	345.84	824.55	824.55	17.25	14.83	0.75	67108862	0.0614
1265.85	1157.90	39.13	993.12	164.77	0.00	213.87	976.98	976.98	58.94	20.64	0.84	67108862	0.0580
